1. Brainstorming," 대표적인 Ideation 방법. 통상적으로 Ideation을 목적으로 하는 모든 미팅을 Brainstorming 이라고 부르기도 함. Brainstorming의 창시자인 Alex Osborn의 4가지 원칙은,

  1. 아이디어의 양을 늘리는데 집중
  2. 비판은 보류
  3. 별난 아이디어 환영
  4. 아이디어에 더하고 합한다.
일반적으로 진행자는 아이디어를 제안하는 것이 금지되며, 10~15분 후 휴식하는 사이클을 3번정도 수행.

브레인 스토밍을 할때 색깔이 다른 포스트잇을 한장씩 주어서 그곳에는 터무니없는 아이디어를 적도록 할수도 있다. 보통 포스트잇들의 분류를 마친뒤, 어처구니없는 아이디어들을 그럴듯한 아이디어로 정제하는 과정을 거친다. "
2. Brainwriting,"각 멤버는 종이에 아이디어를 적는다. 3분정도 시간이 지난뒤 종이를 옆사람에게 넘기면, 적혀있는 아이디어를 보충하거나 디딤돌로 삼아 새로운 아이디어를 적는다. 브레인스토밍 세션에서 말을 잘 안하는 사람들의 의견을 받는데 좋지만 너무 정적인 분위기로 진행되기 쉬움."
3. 6-3-5 method,Brainwriting의 한 방법. 6명의 사람이 각각 3장의 종이에 5분이내에 아이디어 하나씩을 적는다. 다 적은 종이는 옆사람에게 건네주고 옆사람은 적혀있는 아이디어를 힌트로 새로운 아이디어를 더해 적는다. 모든종이에 6개씩 적히게 되면 상황종료. 제대로 진행됬다면 5분x6명=30분 동안 모두 3장x6명x6개=108개의 아이디어가 생긴다. 물론 꼭 6명일 필요는 없음
4. Circular Response,"해결하고자 하는 Problem을 그룹원들과 공유한다. 문제를 확실히 하여 종이에 적어두고, 자유롭게 토론하는 동안 종이를 돌려보며 자기 순서가 되면 코멘트를 하나 이상씩 적는다. 통상적으로 15~20분간 실시. 시간이 되거나 더이상 토론이 시들해지면, 종이를 회수."
5. Nominal Group Technique,"아이디어를 적고 이를 보팅해서 선정하는 방법. 
1. 5~10분정도 각자 조용히 주제에 대한 아이디어를 종이에 적는다.
2. 각자 처음 아이디어를 진행자에게 말하고, 진행자는 이를 칠판에 받아 적는다.
3. 각 아이디어를 명확히 하거나 서로 토의할 시간을 준다.
4. 멤버들은 몇개를 선정하여 순위와 해당 아이디어를 무기명으로 적는다.
5. 진행자는 이 순위 카드를 걷어서 하나씩 읽으며 결과를 공개하고 칠판에 적는다."
6. Six Thinking Hat,"아이디어회의중 ""지금부터 모두 검정모자""와 같은 식으로 활용하거나 각자 다른 종류의 모자를 쓰고 생각하는등의 방법으로 활용한다.
1. White Hat: 객관적인 정보에 집중함. 데이터 중심으로 생각하고 어떻게 부족한 Information을 얻을 수 있는지도 생각해본다.
2. Red Hat: 직관, 감정, 본능에 충실한다. 이유는 필요없음
3. Black Hat: 왜 안되는지, 무엇이 약점인지 부정적인 면을 중심으로 본다.
4. Yellow Hat: 긍정적으로 생각함. 아이디어의 benefit 위주로 본다.
5. Green Hat:  창조적인 생각을 통한 아이디어 생성. 자유로운 사고. 크리틱금지
6. Blue Hat: 미팅을 주관하고 모더레이션한다. 어떤 모자를 써야하는지도 정하는사람"
7. Alternative Words,간단하지만 의외로 유용한 방법. 아이디에이션 주제의 동의어 혹은 반대말 리스트를 작성해서 새로운 시각으로 생각을 해본다. 영어단어라면 리스트는 http://www.thesaurus.com/ 를 사용해 작성하면 좋음
8. Backward Mapping,"Problem solving을 위한 Ideation을 할 때, 지금 고민중인 문제가 이미 해결되어 사라져버린 미래를 상상한다. 그리고 가상의 타임라인을 그리면서 현재까지 거꾸로 내려오면서 생각하는 방법."
9. Break the Rules,"주제와 관련되어 널리 알려진 정설, 학설, 표준, 규범, 법칙 등을 적어두고 이를 제거했을 때 새로운 아이디어의 가능성을 찾아본다"
10. Bunch of Bananas,"미팅중에 갑자기 ""신제품 고민하는 것 그만두고 마술사나 고용할까?""와 같은 엉뚱한 말을 던짐으로써 고의적으로 혼란하게 만든다. 참석자들의 생각이 그냥 흘러가는 대로 가게 두지 않고 뒤흔들어 새로운 돌파구를 찾는 방법. 심리학자들이 말하는 Pattern interruption.  몇 번 시도해 봤는데 적절하게 사용하기 어려우며 분위기만 썰렁하게 만든 경우가 많음."
